,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,chicama,-7.8447,-79.1469,64.94,73,100,8.43,PE,1638655679
92,aklavik,68.2191,-135.0107,-25.71,87,4,6.98,CA,1638655680
93,saint-augustin,51.226,-58.6502,21.63,56,31,19.46,CA,1638655680
94,tacoronte,28.4769,-16.4102,60.26,77,40,14,ES,1638655680
96,norman wells,65.282,-126.8329,-27.11,91,21,3.04,CA,1638655680
97,marsh harbour,26.5412,-77.0636,75.36,66,6,7.09,BS,1638655681
98,severo-kurilsk,50.6789,156.125,31.3,74,76,19.1,RU,1638655681
99,sao gabriel da cachoeira,-0.1303,-67.0892,74.23,98,100,1.9,BR,1638655681
100,abha,18.2164,42.5053,52.05,30,0,0,SA,1638655681
101,invermere,50.5167,-116.0354,27.77,83,100,5.55,CA,1638655682
102,darnah,32.767,22.6367,61.7,70,73,33.64,LY,1638655682
103,roma,43.2128,-75.4557,42.66,57,90,1.01,US,1638655682
104,mlonggo,-6.5333,110.7,78.69,89,100,12.84,ID,1638655683
105,ilebo,-4.3167,20.5833,70.43,99,100,0.94,CD,1638655683
106,molchanovo,57.5817,83.7692,19.87,93,100,9.15,RU,1638655593
107,rocha,-34.4833,-54.3333,66.6,73,78,9.33,UY,1638655637
108,jamestown,42.097,-79.2353,38.79,65,75,7,US,1638655684
109,avarua,-21.2078,-159.775,78.85,89,75,4.61,CK,1638655684
110,mahebourg,-20.4081,57.7,77.25,75,29,12.71,MU,1638655684
111,hobart,-42.8794,147.3294,58.01,56,40,3,AU,1638655417
112,arraial do cabo,-22.9661,-42.0278,73.53,80,6,8.34,BR,1638655685
113,yeppoon,-23.1333,150.7333,78.58,70,33,12.8,AU,1638655685
114,saskylakh,71.9167,114.0833,-19.71,98,100,5.61,RU,1638655685
116,olafsvik,64.8945,-23.7142,35.31,77,77,11.25,IS,1638655666
117,mbaiki,3.8678,17.9892,74.84,69,92,1.97,CF,1638655686
118,sumbawanga,-7.9667,31.6167,63.77,57,22,3.91,TZ,1638655463
119,high prairie,55.4334,-116.4858,11.89,85,100,7.36,CA,1638655686
120,yumen,40.2833,97.2,28.49,29,4,4.12,CN,1638655687
121,dali,25.7,100.1833,45.05,91,53,2.26,CN,1638655687
122,lavrentiya,65.5833,-171,6.46,91,36,3.18,RU,1638655687
123,rockland,41.1668,-74.0496,45.45,67,84,6.06,US,1638655688
124,upernavik,72.7868,-56.1549,21.63,63,100,4.72,GL,1638655645
125,kaitangata,-46.2817,169.8464,59.94,79,100,8.19,NZ,1638655688
126,padang,-0.9492,100.3543,77.05,90,100,1.63,ID,1638655435
127,saint-georges,12.0564,-61.7485,79.9,78,82,13.8,GD,1638655689
128,la rioja,42.25,-2.5,41.49,97,100,6.26,ES,1638655689
129,anadyr,64.75,177.4833,-3.51,76,100,11.01,RU,1638655689
130,bluff,-46.6,168.3333,55.8,90,99,8.86,NZ,1638655690
131,cuiluan,47.72,128.648,8.1,86,36,5.73,CN,1638655690
132,isangel,-19.55,169.2667,81.97,76,99,11.63,VU,1638655691
133,faanui,-16.4833,-151.75,81.39,66,38,14.38,PF,1638655692
134,college,64.8569,-147.8028,-19.41,74,75,0,US,1638655692
135,yerofey pavlovich,53.9667,121.9667,5.9,89,100,1.63,RU,1638655693
136,at-bashi,41.1702,75.8106,18.66,58,83,2.95,KG,1638655694
137,kavaratti,10.5669,72.642,80.58,79,34,7,IN,1638655694
138,sola,-13.8833,167.55,80.17,75,100,13.02,VU,1638655695
139,hofn,64.2539,-15.2082,31.46,58,0,9.48,IS,1638655695
140,lebu,-37.6167,-73.65,57.78,71,0,21.03,CL,1638655695
141,ostrovnoy,68.0531,39.5131,4.06,96,81,7.29,RU,1638655696
142,geraldton,-28.7667,114.6,61.21,72,0,8.05,AU,1638655696
143,mar del plata,-38.0023,-57.5575,58.87,79,35,11.99,AR,1638655448
144,bethel,41.3712,-73.414,44.96,66,1,0,US,1638655696
145,qaanaaq,77.484,-69.3632,0.46,64,70,7.65,GL,1638655697
147,melnikovo,56.5558,84.085,26.26,95,85,9.55,RU,1638655697
148,merauke,-8.4667,140.3333,81.3,82,100,5.39,ID,1638655697
149,sioux lookout,50.1001,-91.917,8.11,92,100,5.82,CA,1638655698
150,melita,49.2681,-100.9967,32.18,69,100,7.38,CA,1638655698
151,colares,38.7992,-9.4469,56.28,70,0,1.01,PT,1638655698
152,ambilobe,-13.2,49.05,76.59,76,3,4.72,MG,1638655698
153,cabo san lucas,22.8909,-109.9124,85.51,54,1,7,MX,1638655699
154,pisco,-13.7,-76.2167,69.85,78,0,19.57,PE,1638655699
155,tautira,-17.7333,-149.15,82,74,52,13.02,PF,1638655699
156,letterkenny,54.95,-7.7333,42.12,74,41,15.39,IE,1638655416
157,wadi musa,30.3222,35.4793,54.86,32,100,5.95,JO,1638655699
159,nanortalik,60.1432,-45.2371,35.26,89,98,38.54,GL,1638655511
160,cam ranh,11.9214,109.1591,73.36,68,20,9.22,VN,1638655700
161,paidha,2.4167,30.9855,61.88,90,65,4.83,UG,1638655701
162,marfino,55.7028,37.3822,22.95,85,75,4.47,RU,1638655563
163,lokosovo,61.1333,74.8167,6.49,96,100,7.2,RU,1638655701
164,akdepe,42.0551,59.3788,26.6,80,99,1.74,TM,1638655701
165,laguna,38.421,-121.4238,72.23,94,90,0,US,1638655514
166,huarmey,-10.0681,-78.1522,68.85,82,100,9.17,PE,1638655702
167,bandarbeyla,9.4942,50.8122,75.63,67,23,16.58,SO,1638655702
168,hithadhoo,-0.6,73.0833,81.23,76,84,11.68,MV,1638655702
169,napier,-39.4833,176.9167,67.57,68,98,11.48,NZ,1638655702
170,berlevag,70.8578,29.0864,17.47,85,29,23.82,NO,1638655703
171,griffith,41.5284,-87.4237,42.1,26,1,1.01,US,1638655703
172,the valley,18.217,-63.0578,81.1,83,20,5.75,AI,1638655568
173,muros,42.7762,-9.0603,52.23,95,99,13.49,ES,1638655703
174,luan,46.3592,6.9759,34.92,88,100,17,CH,1638655704
175,lalitpur,27.6667,85.3333,53.98,94,75,0,NP,1638655704
176,charters towers,-20.1,146.2667,80.02,61,0,7.11,AU,1638655704
177,touros,-5.1989,-35.4608,81.5,79,67,14.58,BR,1638655704
178,hobyo,5.3505,48.5268,78.69,76,57,14.34,SO,1638655704
179,tiksi,71.6872,128.8694,-20.72,97,100,2.86,RU,1638655705
180,ahipara,-35.1667,173.1667,71.17,78,58,12.24,NZ,1638655705
181,san cristobal,7.7669,-72.225,75.38,58,58,3.56,VE,1638655705
182,chifeng,42.2683,118.9636,29.1,41,0,5.91,CN,1638655705
183,constitucion,-35.3333,-72.4167,66.58,57,3,14.03,CL,1638655706
184,coroico,-16.1889,-67.7271,79.54,92,99,0.87,BO,1638655706
185,kapit,2.0167,112.9333,72.9,100,75,0.6,MY,1638655706
186,visby,57.6409,18.296,26.06,86,41,8.05,SE,1638655706
187,cidreira,-30.1811,-50.2056,70.23,79,100,18.66,BR,1638655707
188,mbandaka,0.0487,18.2603,72.34,97,100,1.16,CD,1638655454
189,saldanha,-33.0117,17.9442,61.21,90,100,6.73,ZA,1638655707
191,narsaq,60.9167,-46.05,30.85,74,100,9.6,GL,1638655708
192,luwingu,-10.2621,29.9271,67.86,54,50,3.78,ZM,1638655708
193,monforte de lemos,42.5216,-7.5142,47.7,88,85,4.43,ES,1638655708
194,whitley bay,55.0397,-1.4471,42.71,95,90,14.97,GB,1638655708
196,nexo,55.0607,15.1306,39.29,83,100,9.84,DK,1638655709
197,kruisfontein,-34.0033,24.7314,60.89,94,100,17.36,ZA,1638655709
198,zaysan,47.4667,84.8667,20.39,89,63,0.76,KZ,1638655709
199,guhagar,17.4842,73.1929,72.07,93,12,3.42,IN,1638655710
200,egvekinot,66.3167,-179.1667,-24.54,91,43,5.55,RU,1638655710
201,clyde river,70.4692,-68.5914,11.28,85,100,18.28,CA,1638655711
202,somotillo,13.0433,-86.9064,93.34,51,65,8.59,NI,1638655711
203,petatlan,17.5167,-101.2667,89.4,65,23,5.59,MX,1638655711
204,airai,-8.9266,125.4092,61.41,94,100,0.58,TL,1638655711
205,ixtapa,20.7,-105.2,82.22,69,40,8.05,MX,1638655712
206,tupik,54.4253,119.9327,6.76,93,100,1.61,RU,1638655712
207,kanakapura,12.55,77.4167,69.19,92,90,2.19,IN,1638655712
208,cairns,-16.9167,145.7667,84.15,70,38,10.36,AU,1638655712
209,lima,-12.0432,-77.0282,70.9,72,20,16.11,PE,1638655680
211,matara,5.9485,80.5353,76.62,91,93,3.91,LK,1638655713
212,port blair,11.6667,92.75,78.93,79,36,8.12,IN,1638655713
213,tura,25.5198,90.2201,65.48,74,100,2.64,IN,1638655551
214,palmer,42.1584,-72.3287,38.68,71,20,8.05,US,1638655550
215,lahij,13.1667,44.5833,70.3,66,0,3.56,YE,1638655714
216,xingtai,37.0631,114.4942,39.6,46,1,3.42,CN,1638655714
217,kutum,14.2,24.6667,68.65,25,0,8.43,SD,1638655714
218,victoria,22.2855,114.1577,65.25,67,97,1.99,HK,1638655715
219,provideniya,64.3833,-173.3,19.69,92,97,4.54,RU,1638655715
220,iquique,-20.2208,-70.1431,68.04,72,30,7.76,CL,1638655715
222,sale,34.0389,-6.8166,54.64,100,6,0,MA,1638655716
223,linhares,-19.3911,-40.0722,70.74,86,9,4.03,BR,1638655593
224,svetlogorsk,52.6333,29.7333,29.71,87,100,9.04,BY,1638655716
225,ponta do sol,32.6667,-17.1,66.83,65,96,9.37,PT,1638655717
227,baruun-urt,46.6806,113.2792,21.11,47,92,8.19,MN,1638655718
228,puerto madero,14.7208,-92.4215,89.8,51,1,9.22,MX,1638655718
229,sainte-agathe-des-monts,46.0501,-74.2825,19.49,88,99,2.15,CA,1638655720
230,salvador,13.8333,-88.9167,86.04,52,39,0.92,SV,1638655720
231,bilma,18.6853,12.9164,65.23,22,3,12.08,NE,1638655720
232,moussoro,13.6408,16.4901,77.77,15,0,11.52,TD,1638655720
233,cap malheureux,-19.9842,57.6142,77.47,71,64,5.01,MU,1638655721
234,roura,4.7263,-52.3274,76.91,94,75,2.3,GF,1638655721
235,abu samrah,35.3029,37.1841,55.56,44,100,8.23,SY,1638655721
236,gold coast,-28,153.4333,76.24,75,44,11.01,AU,1638655721
237,viedma,-40.8135,-62.9967,67.96,34,27,19.42,AR,1638655722
238,eureka,40.8021,-124.1637,51.93,92,54,1.01,US,1638655722
239,karpathos,35.507,27.2132,64.36,77,90,16.11,GR,1638655722
240,altamira,-3.2033,-52.2064,74.77,95,96,3.02,BR,1638655722
241,iquira,2.6487,-75.6346,74.73,81,100,1.36,CO,1638655723
242,pitimbu,-7.4706,-34.8086,79.39,80,31,10.87,BR,1638655723
243,ancud,-41.8697,-73.8203,62.13,62,0,3.44,CL,1638655471
245,manggar,-2.8833,108.2667,77.16,88,100,6.62,ID,1638655724
246,huambo,-12.7761,15.7392,62.24,92,100,1.32,AO,1638655724
247,hilo,19.7297,-155.09,76.28,83,90,0,US,1638655724
248,langsa,4.4683,97.9683,73.27,95,22,2.13,ID,1638655724
249,khuzhir,53.1939,107.3397,30.56,64,92,14.85,RU,1638655724
250,lobito,-12.3481,13.5456,76.8,83,100,2.75,AO,1638655725
251,georgetown,5.4112,100.3354,79.9,80,20,1.01,MY,1638655725
252,ayan,56.45,138.1667,6.39,67,100,4.59,RU,1638655725
254,ussuriysk,43.7986,131.9508,6.13,86,5,3.33,RU,1638655519
255,springfield,37.2153,-93.2982,61,45,1,5.01,US,1638655726
256,maniitsoq,65.4167,-52.9,38.88,60,97,16.2,GL,1638655726
257,la ronge,55.1001,-105.2842,2.68,87,100,3.31,CA,1638655727
258,neiafu,-18.65,-173.9833,84.88,79,75,9.22,TO,1638655727
259,nishihara,26.1842,127.7558,63.68,59,75,13.8,JP,1638655727
260,kingaroy,-26.5333,151.8333,68.04,88,90,6.91,AU,1638655727
261,pacific grove,36.6177,-121.9166,65.61,78,40,5.99,US,1638655727
262,kushmurun,52.4503,64.6311,28.76,94,100,12.26,KZ,1638655728
263,edd,13.9297,41.6925,80.74,51,0,18.32,ER,1638655728
264,verkhoyansk,67.5447,133.385,-26.37,96,100,1.9,RU,1638655729
265,jhargram,22.45,86.9833,64.76,95,100,8.95,IN,1638655574
266,mount isa,-20.7333,139.5,92.97,22,66,10.36,AU,1638655730
268,pevek,69.7008,170.3133,-21.91,99,96,6.8,RU,1638655730
269,turayf,31.6725,38.6637,53.29,45,100,12.95,SA,1638655731
270,puerto carreno,6.189,-67.4859,85.41,57,100,8.05,CO,1638655731
271,mananjary,-21.2167,48.3333,74.34,93,4,7.78,MG,1638655731
272,esmeraldas,-19.7625,-44.3139,74.26,87,17,4.05,BR,1638655731
273,marzuq,14.4,46.4667,59.94,32,0,2.08,YE,1638655732
274,baranain,42.8057,-1.6773,48.43,85,75,6.91,ES,1638655732
275,sinnamary,5.3833,-52.95,77.59,90,84,9.08,GF,1638655732
276,riohacha,11.5444,-72.9072,84.79,59,54,15.52,CO,1638655510
277,kungurtug,50.5994,97.5228,3.96,95,85,2.37,RU,1638655733
278,valga,57.7778,26.0473,16,95,81,1.99,EE,1638655733
279,lumeje,-11.55,20.7833,67.12,90,100,3.31,AO,1638655733
280,castro,-24.7911,-50.0119,71.1,55,42,5.23,BR,1638655733
281,copiapo,-27.3667,-70.3333,58.69,22,60,7.23,CL,1638655734
282,maarianhamina,60.0973,19.9348,17.46,86,90,10.36,AX,1638655641
283,newport,51.5877,-2.9984,44.02,83,95,24.2,GB,1638655734
284,preeceville,51.95,-102.6677,12.79,95,80,1.68,CA,1638655735
285,si sa ket,14.8333,104.3333,62.82,70,24,8.72,TH,1638655735
286,kerema,-7.9631,145.7785,80.58,81,96,3.74,PG,1638655735
287,nouadhibou,20.931,-17.0347,66.52,69,8,16.11,MR,1638655735
288,lagoa,39.05,-27.9833,63.55,83,84,11.05,PT,1638655735
289,sebeta,8.9167,38.6167,50.13,66,0,2.89,ET,1638655462
290,san lawrenz,36.0553,14.204,57.85,80,22,5.01,MT,1638655736
291,mrakovo,52.7161,56.6244,32.11,84,100,16.91,RU,1638655736
292,phuket,8,98.25,77.22,69,75,2.3,TH,1638655736
293,perth,-31.9333,115.8333,70.09,59,0,5.75,AU,1638655737
294,belonia,23.2528,91.4514,67.66,74,100,5.48,IN,1638655737
295,bambous virieux,-20.3428,57.7575,77.22,74,40,12.77,MU,1638655737
296,pangnirtung,66.1451,-65.7125,17.06,83,100,4.47,CA,1638655737
297,poum,-20.2333,164.0167,81.18,70,8,9.75,NC,1638655738
298,edmundston,47.3737,-68.3251,15.89,62,1,4.61,CA,1638655738
299,flinders,-34.5833,150.8552,64.18,83,94,12.06,AU,1638655738
300,bengkulu,-3.8004,102.2655,75.72,88,100,8.08,ID,1638655706
301,mehamn,71.0357,27.8492,17.8,85,10,20.67,NO,1638655739
302,jining,35.405,116.5814,38.62,55,3,6.67,CN,1638655739
303,fortuna,40.5982,-124.1573,51.66,97,90,3.44,US,1638655739
304,chattanooga,35.0456,-85.3097,67.96,68,90,0,US,1638655739
305,russell,32.3502,-85.1999,72.68,74,75,3.44,US,1638655739
306,monchegorsk,67.9397,32.8739,-2.96,99,70,2.15,RU,1638655740
307,champerico,14.3,-91.9167,90.95,63,0,7.54,GT,1638655740
308,port-gentil,-0.7193,8.7815,80.35,84,100,12.37,GA,1638655740
309,havre-saint-pierre,50.2334,-63.5986,26.2,50,9,22.62,CA,1638655740
310,svetlyy,54.675,20.1347,33.85,90,89,6.78,RU,1638655741
311,deputatskiy,69.3,139.9,-38.63,96,55,2.15,RU,1638655741
312,vila velha,-20.3297,-40.2925,76.95,77,75,1.01,BR,1638655741
313,auki,-8.7676,160.7034,84.04,71,59,3.4,SB,1638655741
314,kanigiri,15.4,79.5167,72.79,64,55,3.62,IN,1638655742
315,marsabit,2.3284,37.9899,66.81,77,33,10.67,KE,1638655742
316,puerto escondido,15.85,-97.0667,86.83,58,1,0,MX,1638655742
317,seoul,37.5683,126.9778,29.64,38,0,1.57,KR,1638655444
318,mandalgovi,45.7625,106.2708,23.31,36,0,15.43,MN,1638655743
319,abalak,58.1286,68.5944,33.66,91,100,13.27,RU,1638655743
320,batagay-alyta,67.8006,130.4114,-26.75,99,100,1.83,RU,1638655743
321,gizo,-8.103,156.8419,83.37,75,86,5.06,SB,1638655743
322,potiskum,11.7091,11.0694,72.77,26,62,10.2,NG,1638655744
323,san lazaro,18.0387,-88.6622,83.91,70,83,5.79,BZ,1638655744
324,kavieng,-2.5744,150.7967,82.51,81,100,11.01,PG,1638655744
325,sao filipe,14.8961,-24.4956,76.05,72,94,10.94,CV,1638655744
326,koudougou,12.25,-2.3667,79.43,12,11,9.69,BF,1638655745
327,halifax,44.6453,-63.5724,28.69,68,4,4.18,CA,1638655477
328,diffa,13.3154,12.6113,75.18,20,24,9.37,NE,1638655745
329,berlin,52.5244,13.4105,35.89,87,75,8.99,DE,1638655684
330,kommunar,59.6206,30.39,13.66,95,98,5.37,RU,1638655745
331,bonfim,3.0833,-59.95,85.42,56,91,7.78,BR,1638655746
332,tsiroanomandidy,-18.7667,46.0333,74.01,53,59,4.12,MG,1638655746
333,tuatapere,-46.1333,167.6833,55.81,96,100,11.21,NZ,1638655746
334,bongandanga,1.5,21.05,70.3,99,100,1.16,CD,1638655746
335,lompoc,34.6391,-120.4579,64.13,70,1,13.8,US,1638655747
336,axim,4.8699,-2.2405,80.01,84,54,6.58,GH,1638655747
337,thompson,55.7435,-97.8558,-0.98,96,100,4.76,CA,1638655747
338,dingle,10.9995,122.6711,71.82,92,62,8.5,PH,1638655747
339,portland,45.5234,-122.6762,52.63,91,90,3,US,1638655612
340,muli,2.9167,73.5667,82.38,77,68,11.68,MV,1638655748
341,juegang,32.3174,121.1855,45.59,67,36,4.97,CN,1638655748
342,kapoeta,4.7717,33.5903,83.5,40,95,15.7,SS,1638655748
343,ampanihy,-24.7,44.75,74.68,59,0,3.36,MG,1638655749
344,altay,47.8667,88.1167,21.27,53,4,7.87,CN,1638655749
345,labuhan,-6.8844,112.2051,77.43,86,100,11.1,ID,1638655749
346,bara,10.3744,10.7288,77.74,28,71,8.9,NG,1638655749
347,luderitz,-26.6481,15.1594,60.93,89,5,6.4,NA,1638655750
348,kasongo,-4.45,26.6667,69.31,96,62,1.63,CD,1638655750
349,kabinda,-6.1333,24.4833,68.81,87,92,1.97,CD,1638655750
350,myitkyina,25.3833,97.4,63.82,75,99,1.28,MM,1638655750
351,port lincoln,-34.7333,135.8667,59.77,70,100,12.53,AU,1638655750
352,codrington,-38.2667,141.9667,55.02,57,10,6.91,AU,1638655751
353,smoky lake,54.1169,-112.4686,17.49,87,98,3.94,CA,1638655751
354,monrovia,6.3005,-10.7969,81.18,79,79,6.96,LR,1638655752
355,newala,-10.9431,39.2787,67.42,92,99,7.72,TZ,1638655753
356,grand-santi,4.25,-54.3833,73.98,98,86,1.9,GF,1638655753
357,san patricio,28.017,-97.5169,84.61,62,44,12.97,US,1638655753
358,jalingo,8.8833,11.3667,81.5,30,64,3.58,NG,1638655754
359,alyangula,-13.8483,136.4192,84.74,71,100,5.5,AU,1638655754
360,klenovyy,48.1193,39.4588,32,97,100,12.66,UA,1638655754
361,hamilton,39.1834,-84.5333,50.74,46,1,4.61,US,1638655754
362,alice springs,-23.7,133.8833,78.35,25,28,10.36,AU,1638655755
363,broome,42.2506,-75.833,41.77,55,1,3,US,1638655755
364,moron,-34.6534,-58.6198,73.94,75,86,5.01,AR,1638655755
365,longyearbyen,78.2186,15.6401,19.24,73,75,18.41,SJ,1638655755
366,yulara,-25.2406,130.9889,71.44,43,44,20.71,AU,1638655755
367,urusha,54.05,122.9,4.57,86,100,1.97,RU,1638655756
368,berck,50.4,1.6,46.38,61,40,11.5,FR,1638655478
369,camacha,33.0833,-16.3333,63.36,59,75,16.11,PT,1638655756
370,taoudenni,22.6783,-3.9836,60.51,20,0,12.66,ML,1638655756
371,fallon,39.4735,-118.7774,65.91,31,40,0,US,1638655757
372,toppenish,46.3774,-120.3087,47.71,63,80,5.01,US,1638655575
373,manado,1.487,124.8455,74.17,94,40,1.14,ID,1638655757
375,verkhnyaya sinyachikha,57.976,61.6673,36.64,84,100,11.45,RU,1638655758
376,santa maria,-29.6842,-53.8069,79.54,54,99,11.77,BR,1638655758
377,thyolo,-16.0678,35.1405,73.94,51,52,3.8,MW,1638655758
378,tommot,58.9564,126.2925,22.93,88,99,10.87,RU,1638655758
379,lorengau,-2.0226,147.2712,84.58,77,100,17.31,PG,1638655759
380,tromso,69.6496,18.957,19.42,58,0,11.5,NO,1638655759
381,bathsheba,13.2167,-59.5167,81.21,74,75,18.41,BB,1638655759
382,maraba,-5.3686,-49.1178,77.18,94,75,6.91,BR,1638655759
383,novoagansk,61.9449,76.6625,-2.83,95,100,4.12,RU,1638655760
384,dingli,35.8614,14.3822,56.8,82,20,10.36,MT,1638655760
385,arona,28.0996,-16.681,61.11,56,20,1.99,ES,1638655760
386,bilibino,68.0546,166.4372,-40.97,99,55,4.65,RU,1638655760
387,lazarev,52.225,141.5131,-3.55,83,21,9.71,RU,1638655761
388,blythe,33.6103,-114.5964,77.04,13,0,4.68,US,1638655761
389,imbituba,-28.24,-48.6703,73.81,79,97,13.67,BR,1638655761
390,kyakhta,50.3508,106.4494,12.51,92,92,3.33,RU,1638655761
391,santiago,-33.4569,-70.6483,90.84,23,0,8.05,CL,1638655740
392,alibag,18.6411,72.8792,77.07,84,7,0.76,IN,1638655762
